2022-06-21 21:05:57.595 | DEBUG    | __main__:<module>:15 - Start script
2022-06-21 21:05:57.597 | ERROR    | __main__:<module>:28 - import config
2022-06-21 21:06:16.868 | DEBUG    | __main__:<module>:15 - Start script
2022-06-21 21:06:16.870 | ERROR    | __main__:<module>:28 - import config 'Settings'
2022-06-21 21:29:32.775 | DEBUG    | __main__:<module>:17 - Start script
2022-06-21 21:31:22.331 | DEBUG    | __main__:<module>:17 - Start script
2022-06-21 21:31:35.277 | DEBUG    | __main__:<module>:17 - Start script
2022-06-21 21:32:00.452 | DEBUG    | __main__:<module>:17 - Start script
2022-06-21 21:32:00.455 | ERROR    | __main__:import_cfg:33 - import config 'Settings'
2022-06-21 21:36:37.962 | DEBUG    | __main__:<module>:18 - Start script
2022-06-21 21:36:37.965 | ERROR    | __main__:import_cfg:34 - import config 'Settings'
2022-06-21 21:38:48.003 | DEBUG    | __main__:<module>:18 - Start script
2022-06-21 21:38:48.006 | ERROR    | __main__:import_cfg:34 - import config 'Settings'
2022-06-21 21:38:57.267 | DEBUG    | __main__:<module>:18 - Start script
2022-06-21 21:38:57.271 | ERROR    | __main__:import_cfg:34 - import config 'Settings'
2022-06-21 21:39:33.243 | DEBUG    | __main__:<module>:18 - Start script
2022-06-21 21:39:33.246 | ERROR    | __main__:import_cfg:34 - import config 'Settings'
2022-06-21 21:40:28.941 | DEBUG    | __main__:<module>:18 - Start script
2022-06-21 21:40:28.944 | ERROR    | __main__:import_cfg:34 - import config 'Settings'
2022-06-21 21:42:17.455 | DEBUG    | __main__:<module>:18 - Start script
2022-06-21 21:43:34.396 | DEBUG    | __main__:<module>:18 - Start script
2022-06-21 21:43:34.400 | ERROR    | __main__:get_list_coins:49 - [Errno 2] No such file or directory: 'coins.txt'
2022-06-21 21:44:46.592 | DEBUG    | __main__:<module>:18 - Start script
2022-06-21 21:46:05.087 | DEBUG    | __main__:<module>:18 - Start script
2022-06-21 21:52:09.368 | DEBUG    | __main__:<module>:18 - Start script
2022-06-21 21:53:04.908 | DEBUG    | __main__:<module>:18 - Start script
2022-06-21 21:54:26.812 | DEBUG    | __main__:<module>:18 - Start script
2022-06-21 21:55:01.117 | DEBUG    | __main__:<module>:18 - Start script
2022-06-21 21:57:05.417 | DEBUG    | __main__:<module>:18 - Start script
2022-06-21 21:57:50.460 | DEBUG    | __main__:<module>:18 - Start script
2022-06-21 21:58:14.040 | DEBUG    | __main__:<module>:18 - Start script
2022-06-21 21:58:35.797 | DEBUG    | __main__:<module>:18 - Start script
2022-06-21 21:59:01.129 | DEBUG    | __main__:<module>:18 - Start script
2022-06-21 21:59:15.184 | DEBUG    | __main__:<module>:18 - Start script
